NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
31736,Tamarack 08-28-030-25 W3m,Tamarack Acquisition Corp.,,Kindersley,Saskatchewan,,51.59677,-109.45251,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331736&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31736,2022
31737,Tamarack 04-32-034-09 W4m,Tamarack Acquisition Corp.,,Consort,Alberta,,51.95637,-111.25409,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331737&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31737,2022
31745,Surge MacKlin 16-32-039-28w3 Mwb,Surge Energy Inc.,,N/A,Saskatchewan,,52.40318,-109.98696,4.96,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331745&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31745,2022
31748,Wainwright Unit 7 Battery 07-18,Surge Energy Inc.,,Wainwright,Alberta,,52.93621,-110.76282,0.7,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331748&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31748,2022
31750,04-25-039-23 W3m Unity,Tamarack Acquisition Corp.,600 - 425 1 Street Southwest,Calgary,Saskatchewan,,52.3786,-109.19043,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331750&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31750,2022
31751,Max Aicher (North America) Limited,Max Aicher (North America) Limited,855 Industrial Drive,Hamilton,Ontario,L8L 0B2,43.26654,-79.82236,31.06,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331751&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31751,2022
31752,House Mountain Gp 1-8-70-10w5,Cardinal Energy Ltd.,,Swan Hills,Alberta,T0G 2C0,55.0414,-115.4791,24.07,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331752&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31752,2022
31758,Lethbridge Biogas Facility,Lethbridge Biogas Lp,4456 8 Avenue North,Lethbridge,Alberta,T1H 6W5,52.2645,-110.5705,31.13,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331758&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31758,2022
31761,Elmworth Generating Station,Northstone Power Corp,,Elmworth,Alberta,,55.04747,-119.6334,58.42,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331761&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31761,2022
31766,Kirby North 01-06-075-8 W4m,Canadian Natural Resources Limited,,N/A,Alberta,,55.46274,-111.2253,161.82,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331766&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31766,2022
31780,Karr South 5-35-64-02-W6,Pgi Processing Ulc,Off the Forestry Truck Road Greenview No. 16,Greenview,Alberta,,54.57969,-118.1984,74.1,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331780&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31780,2022
31782,Coaldale 6.4 Mw Power Plant,Signalta Resources Ltd.,,Lethbridge,Alberta,,49.73734,-112.5614,17.49,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331782&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31782,2022
31787,Chevron 10-26-063-24w5 Swgb,Chevron Canada Resources,,N/A,Alberta,,54.48151,-117.5145,2,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331787&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31787,2022
